Customer_ID,Customer_Name,Customer_Location,Customer_Segment,Customer_Age,Customer_Gender,Customer_Acquisition_Date,Customer_Feedback
1,Customer_1,Chennai,Premium,19,Female,2020-01-01,1.99
2,Customer_2,Hyderabad,Regular,41,Other,2020-01-02,4.66
3,Customer_3,Bangalore,Regular,21,Male,2020-01-03,4.63
4,Customer_4,Bangalore,Premium,21,Female,2020-01-04,2.18
5,Customer_5,Mumbai,Regular,55,Other,2020-01-05,4.78
6,Customer_6,Bangalore,Premium,31,Female,2020-01-06,1.43
7,Customer_7,Delhi,Premium,33,Male,2020-01-07,2.16
8,Customer_8,Delhi,First-time buyer,45,Female,2020-01-08,3.36
9,Customer_9,Delhi,First-time buyer,18,Other,2020-01-09,2.29
10,Customer_10,Bangalore,First-time buyer,34,Male,2020-01-10,4.45
11,Customer_11,Chennai,Regular,35,Other,2020-01-11,3.86
12,Customer_12,Mumbai,First-time buyer,47,Male,2020-01-12,2.74
13,Customer_13,Mumbai,Regular,69,Other,2020-01-13,2.17
14,Customer_14,Chennai,Premium,47,Other,2020-01-14,3.71
15,Customer_15,Bangalore,Regular,46,Female,2020-01-15,2.42
16,Customer_16,Chennai,First-time buyer,52,Other,2020-01-16,1.72
17,Customer_17,Hyderabad,Premium,51,Male,2020-01-17,2.88
18,Customer_18,Chennai,First-time buyer,21,Male,2020-01-18,2.93
19,Customer_19,Mumbai,Premium,42,Male,2020-01-19,3.25
20,Customer_20,Mumbai,Regular,65,Female,2020-01-20,3.24
21,Customer_21,Bangalore,First-time buyer,37,Female,2020-01-21,1.15
22,Customer_22,Chennai,First-time buyer,65,Male,2020-01-22,3.42
23,Customer_23,Delhi,Premium,26,Female,2020-01-23,4.19
24,Customer_24,Bangalore,First-time buyer,36,Female,2020-01-24,1.1
25,Customer_25,Mumbai,Regular,58,Other,2020-01-25,4.44
26,Customer_26,Delhi,Premium,26,Other,2020-01-26,3.73
27,Customer_27,Mumbai,Regular,62,Male,2020-01-27,4.08
28,Customer_28,Hyderabad,First-time buyer,24,Other,2020-01-28,3.08
29,Customer_29,Chennai,Regular,56,Other,2020-01-29,2.02
30,Customer_30,Delhi,Regular,39,Other,2020-01-30,1.43
31,Customer_31,Hyderabad,Premium,56,Male,2020-01-31,2.47
32,Customer_32,Mumbai,Premium,66,Male,2020-02-01,1.47
33,Customer_33,Mumbai,Premium,33,Female,2020-02-02,3.69
34,Customer_34,Delhi,Premium,41,Female,2020-02-03,1.48
35,Customer_35,Chennai,First-time buyer,68,Female,2020-02-04,4.96
36,Customer_36,Delhi,Regular,62,Female,2020-02-05,3.54
37,Customer_37,Hyderabad,First-time buyer,60,Female,2020-02-06,2.5
38,Customer_38,Chennai,Regular,52,Male,2020-02-07,4.64
39,Customer_39,Mumbai,Premium,35,Other,2020-02-08,3.39
40,Customer_40,Chennai,First-time buyer,45,Male,2020-02-09,2.92
41,Customer_41,Bangalore,First-time buyer,53,Male,2020-02-10,3.57
42,Customer_42,Chennai,Premium,23,Male,2020-02-11,4.62
43,Customer_43,Hyderabad,First-time buyer,67,Other,2020-02-12,2.19
44,Customer_44,Bangalore,Regular,53,Other,2020-02-13,2.99
45,Customer_45,Hyderabad,Regular,68,Other,2020-02-14,1.87
46,Customer_46,Chennai,First-time buyer,42,Female,2020-02-15,1.21
47,Customer_47,Delhi,Premium,48,Female,2020-02-16,2.12
48,Customer_48,Hyderabad,Premium,63,Female,2020-02-17,4.9
49,Customer_49,Delhi,Regular,51,Female,2020-02-18,3.7
50,Customer_50,Delhi,First-time buyer,68,Other,2020-02-19,1.08
51,Customer_51,Chennai,First-time buyer,46,Female,2020-02-20,2.47
52,Customer_52,Mumbai,Premium,31,Male,2020-02-21,3.63
53,Customer_53,Mumbai,Regular,57,Female,2020-02-22,2.79
54,Customer_54,Mumbai,Premium,45,Other,2020-02-23,2.98
55,Customer_55,Mumbai,Regular,32,Male,2020-02-24,2.4
56,Customer_56,Bangalore,Premium,31,Male,2020-02-25,1.34
57,Customer_57,Mumbai,Premium,61,Female,2020-02-26,3.65
58,Customer_58,Chennai,Regular,36,Male,2020-02-27,4.0
59,Customer_59,Chennai,Regular,39,Female,2020-02-28,3.15
60,Customer_60,Mumbai,Premium,39,Male,2020-02-29,1.43
61,Customer_61,Bangalore,Regular,65,Other,2020-03-01,3.94
62,Customer_62,Delhi,Premium,68,Other,2020-03-02,1.07
63,Customer_63,Chennai,Premium,63,Female,2020-03-03,2.68
64,Customer_64,Delhi,Premium,65,Male,2020-03-04,1.33
65,Customer_65,Hyderabad,Premium,62,Male,2020-03-05,3.71
66,Customer_66,Hyderabad,Premium,53,Other,2020-03-06,4.59
67,Customer_67,Chennai,Regular,54,Other,2020-03-07,2.37
68,Customer_68,Mumbai,First-time buyer,52,Female,2020-03-08,4.64
69,Customer_69,Delhi,First-time buyer,31,Female,2020-03-09,1.79
70,Customer_70,Delhi,Regular,42,Other,2020-03-10,2.68
71,Customer_71,Hyderabad,Regular,43,Male,2020-03-11,2.61
72,Customer_72,Hyderabad,First-time buyer,44,Male,2020-03-12,3.98
73,Customer_73,Hyderabad,Premium,44,Other,2020-03-13,3.14
74,Customer_74,Hyderabad,Premium,67,Female,2020-03-14,4.44
75,Customer_75,Hyderabad,Premium,31,Male,2020-03-15,1.74
76,Customer_76,Mumbai,Regular,39,Female,2020-03-16,3.25
77,Customer_77,Chennai,Regular,33,Male,2020-03-17,3.46
78,Customer_78,Hyderabad,Premium,45,Other,2020-03-18,2.05
79,Customer_79,Mumbai,Premium,27,Male,2020-03-19,2.5
80,Customer_80,Delhi,Premium,43,Male,2020-03-20,1.77
